word,POS,count
舒心,VA,1
信,VV,1
矣,SP,1
下岗,VV,1
够用,VV,1
测试,VV,1
特别是,AD,1
增品,NN,1
全屏,JJ,1
8088,CD,1
卡机,VV,1
怎么,AD,1
一时,NN,1
死忠粉,NN,1
正价,NN,1
贵的,VV,1
ＸS,NN,1
赚到,VV,1
背面,NN,1
视感,NN,1
倍,M,1
昨天,NT,1
体系,NN,1
灰色,JJ,1
树,NN,1
换机,VV,1
思,VV,1
极佳,JJ,1
能再,NN,1
急,VA,1
性,NN,1
音量,NN,1
总,AD,1
哈哈哈爱,VV,1
回答,VV,1
耗电量,NN,1
血,NN,1
面子,NN,1
走心,VV,1
1000,CD,1
哈哈哈哈哈,VV,1
偏,AD,1
.........,NN,1
高通,NR,1
只有,AD,1
老总,NN,1
全家人,NN,1
表现,NN,1
附上,VV,1
Z,FW,1
介绍人,NN,1
果粉,NN,1
压力,NN,1
开车,VV,1
超赞,VV,1
至少,AD,1
看不,AD,1
s,NN,1
附带,VV,1
奶茶,NN,1
偷,VV,1
顺,VV,1
批发,NN,1
再补,AD,1
顿,NN,1
分量,NN,1
派上,VV,1
忘啦,NN,1
说明,VV,1
袋,NN,1
难得,AD,1
很有,VV,1
卡过,VV,1
一些,CD,1
加强,VV,1
真诚,VA,1
几百,CD,1
标志,NN,1
人性,NN,1
上海,NR,1
穷呀,NN,1
月亮,NN,1
被,LB,1
起着,VV,1
妹子,NN,1
有些,AD,1
拍出,VV,1
还可以,NN,1
不贵,NN,1
看了,NN,1
用处,NN,1
夜景,NN,1
最近,NT,1
久了,VV,1
荣耀,NN,1
从不,AD,1
导数,AD,1
宇宙,NN,1
确认,NN,1
预想,NN,1
买入,VV,1
外面,NN,1
说了,VV,1
顺手,VA,1
买好,VV,1
口碑,NN,1
和谐,VA,1
什么的,PN,1
超清,VV,1
马上,AD,1
礼拜,NN,1
揪心,VV,1
外,LC,1
应用,NN,1
不在话下,VV,1
坏了,NN,1
说的,VV,1
充凑,NN,1
40%,CD,1
没多久,NN,1
九号,NT,1
公用,JJ,1
玩过,VV,1
卡顿,VA,1
每次,AD,1
当个,VV,1
反正,AD,1
作用,NN,1
侍机,NN,1
难道,AD,1
廉价,NN,1
礼包,NN,1
64G,NN,1
之中,LC,1
通常,AD,1
配,VV,1
不得不,AD,1
利器,NN,1
可靠,VA,1
功耗,NN,1
硅胶,NN,1
称赞,NN,1
阳光,NN,1
票,NN,1
心情,NN,1
介绍,VV,1
不得了,AD,1
挑剔,VV,1
慢了,NN,1
物廉,NN,1
说给,VV,1
感人,JJ,1
大方,VA,1
优越,VA,1
落下,VV,1
概,AD,1
如,P,1
内,LC,1
后手感,NN,1
放弃,VV,1
运转,VV,1
神机,NN,1
8+256,VV,1
发言权,NN,1
麻烦,NN,1
图像,NN,1
果断,AD,1
买买买,VV,1
战斗机,NN,1
帮我,VV,1
来买买,VV,1
亲戚,NN,1
200,CD,1
别的,PN,1
人脸,NN,1
离,VV,1
家庭,NN,1
对于,P,1
见,VV,1
好玩,VA,1
完毕,VV,1
购入,VV,1
iphonex,NR,1
精细,VA,1
小小,JJ,1
无论,AD,1
有心,VV,1
黑白,NN,1
掌握,VV,1
关注,VV,1
花的,VV,1
依旧,AD,1
另外,DT,1
参数,NN,1
托儿,VV,1
水果,NN,1
关系,NN,1
苹果机,NN,1
姐姐,NN,1
好发,JJ,1
处理器,NN,1
货到,VV,1
转变,VV,1
飘过,NN,1
好比,VV,1
爆,VV,1
剩余,VV,1
回购,VV,1
太差,VA,1
c39,NR,1
用到,VV,1
忐忑,VA,1
周六,NT,1
关键,NN,1
划,VV,1
合用,VV,1
拖到,VV,1
不二,VA,1
如此,PN,1
附送,VV,1
货物,NN,1
棒棒,VA,1
高出,VV,1
246,CD,1
这回,AD,1
变化,NN,1
开头,VV,1
刻,M,1
爽,VA,1
当着,P,1
美国人,NN,1
都去,NN,1
前,LC,1
很像,AD,1
观察,NN,1
英特尔,NR,1
15号,NT,1
原则,NN,1
作为,P,1
创意,NN,1
急性子,NN,1
嗖嗖嗖,VV,1
还在,VV,1
从来,AD,1
首先,AD,1
领券,VV,1
心里,NN,1
得心应手,VV,1
流畅度,NN,1
对着,AD,1
犒劳,VV,1
专业,JJ,1
查了市,NR,1
电脑,NN,1
磕碰,NN,1
大人,NN,1
苏宁,NR,1
成功,VA,1
脾气,NN,1
卸任,VV,1
差劲,VA,1
试试,VV,1
上来,VV,1
迟了,VV,1
随机,AD,1
得住,VV,1
极致,VA,1
抱着,VV,1
衰败,VV,1
红红火火,AD,1
验证,VV,1
充电器,NN,1
刚好,AD,1
发展,VV,1
之美,VA,1
绚丽,VA,1
永远,AD,1
各个,DT,1
花,VV,1
认准,VV,1
降低,VV,1
开玩笑,VV,1
试了试,VV,1
总算,AD,1
粉丝,NN,1
么么哒,NN,1
气象,NN,1
熟悉,VV,1
精心,AD,1
手环,NN,1
眼力,NN,1
遇到,VV,1
他们,PN,1
隔代,JJ,1
心才,NN,1
在这里,NR,1
拿下,VV,1
可能,VV,1
不好用,AD,1
慢速,NN,1
顾客,NN,1
在用,VV,1
贴膜,NN,1
无法,AD,1
拼,VV,1
满足,VV,1
蓝屏,NN,1
图片,NN,1
透光,NN,1
数据线,NN,1
颜值,NN,1
paiz,NN,1
衣服,NN,1
Xs,NN,1
随便,AD,1
接到,VV,1
结果,AD,1
外包装,NN,1
通通,AD,1
奖金,NN,1
多多,AD,1
直接,AD,1
十,CD,1
好货,VV,1
绝了,VV,1
演进,NN,1
中毒,VV,1
不过,AD,1
顶呱呱,NN,1
超喜欢,VA,1
赞哦,VA,1
干掉,VV,1
控制,NN,1
颠倒,AD,1
同时,AD,1
而言,LC,1
无敌,VV,1
据,P,1
用完,VV,1
却,AD,1
东东,NN,1
追评,VV,1
师傅,NN,1
赞赞赞,NN,1
死,VV,1
造型,NN,1
细腻,VA,1
其中,NN,1
简直,AD,1
新款,JJ,1
你们,PN,1
iphoneXS,NN,1
很好看,NN,1
音质,NN,1
看样子,AD,1
让利,VV,1
让我,NN,1
算,VV,1
官,NN,1
满意了,NN,1
机王,NN,1
音效,NN,1
阵子,NN,1
mix2s,AD,1
再花钱,NN,1
来的,NN,1
不堪,VA,1
条件,NN,1
保修,NN,1
无疑,AD,1
评,NN,1
心心念念,NN,1
主动,AD,1
查看,VV,1
反,VV,1
使用期,VV,1
也就是,AD,1
每,DT,1
快乐,VA,1
想买,VV,1
厘米,M,1
星星,NN,1
特地,AD,1
最高,JJ,1
黑XS,NN,1
细致,VA,1
该,VV,1
另,DT,1
代买,VV,1
人品好,NN,1
交易,NN,1
够大,VV,1
一点点,AD,1
选择,NN,1
数据,NN,1
真机,NN,1
工资,NN,1
生活,NN,1
请,VV,1
寸,M,1
保值,NN,1
清楚,VA,1
评估,VV,1
以为,VV,1
建议,VV,1
楼上,NN,1
合,VV,1
硬件,NN,1
iOS,NN,1
相对,AD,1
少,VA,1
满满,VA,1
老样子,NN,1
瘦长,NN,1
吗,SP,1
看见,VV,1
搞,VV,1
营,NN,1
无可挑剔,VV,1
水,NN,1
慢慢,AD,1
不习惯,VA,1
验收,NN,1
解决,VV,1
很高,NN,1
几天来,AD,1
呆,VA,1
对焦,VV,1
查询了@码是,AD,1
照像,NN,1
拿来,VV,1
真是穷,NN,1
还多,VV,1
采用,VV,1
高尚,VA,1
适合,VV,1
出众,VV,1
采购,NN,1
一分钱一分,CD,1
没法,AD,1
周,M,1
货品,NN,1
公道,NN,1
称道,NN,1
防摔盒,NN,1
快看,VV,1
系列,NN,1
细节,NN,1
大胆,VA,1
查了@日期,NR,1
就是爽,NN,1
个赞,NN,1
阿拉,NR,1
黄铜色,NR,1
基本上,AD,1
将近,AD,1
综合,VV,1
超好,VV,1
发展史,NN,1
后盖,NN,1
特别好,NR,1
爱風,NR,1
自然,NN,1
阵营,NN,1
在线,NN,1
杀毒,NN,1
正宗,JJ,1
人民,NN,1
心仪已久,VV,1
技术,NN,1
华丽,VA,1
真快,VV,1
严严实实,VA,1
没用,VV,1
讲到,VV,1
物美价,NR,1
条码,NN,1
电子,NN,1
还好,AD,1
害我,VV,1
好些,CD,1
惊呆,VV,1
5.5,CD,1
开箱,VV,1
宽裕,VA,1
所有,DT,1
多任务,NN,1
佩服,VV,1
拍下,VV,1
大大,AD,1
明天,NT,1
万事如意,VV,1
开发,VV,1
来得,AD,1
家里,NN,1
顺丰,NR,1
新鲜,VA,1
50%,CD,1
哭,VV,1
研究,VV,1
缓冲,NN,1
拆开,VV,1
系,NN,1
感到,VV,1
抓紧,VV,1
不好,AD,1
隔天,NT,1
摄像,NN,1
6百,CD,1
声音,NN,1
手上,NN,1
屏很,VV,1
以来,LC,1
设备,NN,1
不要,AD,1
后来,AD,1
新品,NN,1
不如,AD,1
太多,NR,1
贴,VV,1
电,NN,1
五六百,CD,1
太大,JJ,1
努力,VV,1
画,NN,1
贼,NN,1
7500,CD,1
超爽,VV,1
测,VV,1
一千,CD,1
意味,VV,1
裸机,NN,1
五六,CD,1
需求,NN,1
快快,AD,1
赚,VV,1
单下,NN,1
总是,AD,1
基带,NN,1
后边,NN,1
敢,VV,1
舒畅,VA,1
等得,VV,1
啥,DT,1
6666,CD,1
生产,VV,1
货真价实,VV,1
奈斯,VA,1
分享,VV,1
适用,VV,1
负责任,VV,1
赶,VV,1
起,VV,1
算是,VV,1
太慢,VV,1
用料,NN,1
趁,P,1
家里人,NN,1
本地,NN,1
买下,VV,1
小心,VA,1
那里,PN,1
真棒,NN,1
同样,JJ,1
好使,VA,1
符合,VV,1
封膜,NN,1
足,NN,1
本来,AD,1
样式,NN,1
送货员,NN,1
亮度,NN,1
跟近,VV,1
算了,VV,1
解答,VV,1
复活,NN,1
不到,AD,1
跑,VV,1
既往,NN,1
充的,VV,1
日期,NN,1
ok,NR,1
江湖,NN,1
话下,NN,1
稳妥,VA,1
很给力,NN,1
既,CC,1
鸟样,VA,1
旧,JJ,1
卖的,VV,1
嗯,IJ,1
用上,VV,1
好还,VV,1
用带,VV,1
时,LC,1
仿生,NN,1
五分,CD,1
返款,VV,1
小礼品,NN,1
没得说,AD,1
光临,VV,1
验真,VV,1
万,CD,1
开锁,VV,1
全新机,NN,1
丑,NN,1
加油,VV,1
用久,VV,1
三包,NN,1
阔,VA,1
试机,NN,1
无论是,AD,1
物美价廉,VV,1
根本,AD,1
回头,VV,1
快点,VV,1
鉴别,NN,1
耗损,VV,1
先买,VV,1
特好,VA,1
差不多,VA,1
真好,NN,1
为,P,1
区别,NN,1
都很,NN,1
接收,VV,1
渠道,NN,1
高清,NN,1
谱呀,NN,1
天才,NN,1
质的,JJ,1
油毡,NN,1
后悔,VV,1
安装,NN,1
一次性,AD,1
省电,VA,1
分安兔兔,VV,1
不靠谱,VA,1
分辨,VV,1
上午,NT,1
说话,VV,1
15%,CD,1
震撼,VV,1
快递员,NN,1
清晰度,NN,1
呵呵,IJ,1
暖,VA,1
从新寄,VV,1
顺便,AD,1
暖色,NN,1
保证书,NN,1
壳太,NN,1
亮,VA,1
领了,VV,1
还算,AD,1
亲,NN,1
盒子,NN,1
十几,CD,1
高的,JJ,1
5S,NN,1
机身,NN,1
前来,VV,1
现象,NN,1
存在,VV,1
信誉,NN,1
酷酷,VV,1
黑,NN,1
apple,NR,1
嗷嗷,AD,1
老人,NN,1
以外,LC,1
突然,AD,1
备份,VV,1
满,JJ,1
玩起,VV,1
以,P,1
规格,NN,1
送给,VV,1
坚持,VV,1
这家,DT,1
蛮,AD,1
不舒服,JJ,1
直,AD,1
滴,M,1
旗舰店,NN,1
进步,NN,1
6p,VV,1
xr,NN,1
好像,AD,1
国,NN,1
不止,AD,1
绿,NN,1
省,NN,1
很不错,NN,1
机会,NN,1
一模一样,VV,1
节奏,NN,1
土,NN,1
传,VV,1
用场,NN,1
伤,VV,1
登陆,VV,1
省下,VV,1
周二,NT,1
检查,VV,1
工程师,NN,1
列买,VV,1
识别,NN,1
不管,CS,1
国产,JJ,1
镜头,NN,1
多用,VV,1
过瘾,VV,1
满分,NN,1
坏,VV,1
住,VV,1
打开@后试,NN,1
当,P,1
靓,VA,1
相当,AD,1
老机,NN,1
诚信,NN,1
面,NN,1
秒开,VV,1
看错,VV,1
7p换,CD,1
付款,VV,1
影,NN,1
握着,VV,1
很帅,NN,1
磨损,NN,1
轻,VA,1
使,VV,1
水货,NN,1
毫不,AD,1
开了,VV,1
详细,JJ,1
到家,VV,1
眼睛,NN,1
全球,NN,1
好好,AD,1
不知不觉,VV,1
先查,NN,1
突出,VV,1
优惠券,NN,1
度好,VV,1
钢化膜,NN,1
忍痛,AD,1
????,NR,1
说用,VV,1
11-13,CD,1
专卖,JJ,1
试想,VV,1
过度,AD,1
货快,NN,1
生意,NN,1
心,NN,1
损坏,NN,1
带头,VV,1
买回来,AD,1
金融,NN,1
稳定,VV,1
近,AD,1
忘,VV,1
还没,AD,1
复杂,VA,1
非常好,NN,2
追,VV,2
棒了,NN,2
捣鼓,VV,2
以前,NT,2
怕,VV,2
有时候,AD,2
玻璃,NN,2
正在,AD,2
4,CD,2
5,CD,2
舒适,VA,2
配送,JJ,2
蛮好,AD,2
待机,VV,2
前天,NT,2
项,M,2
分离,VV,2
速度快,NN,2
品质,NN,2
强悍,JJ,2
颜,NN,2
分辨率,NN,2
多的,VA,2
比我,JJ,2
出厂,NN,2
试了下,NN,2
来讲,LC,2
其实,AD,2
省心,AD,2
壳,NN,2
合理,VA,2
讲的,NN,2
提高,NN,2
之一,NN,2
土豪,NN,2
充,VV,2
必须,VV,2
靓丽,JJ,2
祝,VV,2
钟爱,NN,2
64g,NN,2
颜值高,NN,2
新手机,NN,2
666,CD,2
真品,NN,2
有待,VV,2
香,VA,2
然后,AD,2
对了,VA,2
想象,NN,2
家人,NN,2
重,VA,2
改进,VV,2
金,JJ,2
OK,VA,2
明显,VA,2
这些,DT,2
发现,VV,2
出,VV,2
世界,NN,2
分,M,2
运送,NN,2
物有所值,VV,2
味道,NN,2
专卖店,NN,2
物美,NR,2
牌,NN,2
256,CD,2
追加,VV,2
牛,NN,2
迫不及待,VV,2
的确,AD,2
正好,AD,2
估计,NN,2
仔细,VA,2
享受,VV,2
各方面,AD,2
把,BA,2
验,VV,2
牌子,NN,2
派送,VV,2
下来,VV,2
中午,NT,2
显示,VV,2
期间,NN,2
强劲,VA,2
周到,VA,2
经过,P,2
内容,NN,2
下载,VV,2
飞快,VV,2
晚上,NT,2
爱国,VV,2
京豆,NN,2
辣么,NN,2
再次,AD,2
还送,VV,2
超值,VA,2
厚实,VA,2
买家,NN,2
商城,NN,2
还行,NN,2
好啊,VA,2
完整,VA,2
这样,AD,2
影响,NN,2
出游,VV,2
它,PN,2
完,VV,2
今天,NT,2
差评,NN,2
不错不错,VV,2
讲,VV,2
发,VV,2
相比,VV,2
受,VV,2
变,VV,2
对得起,VV,2
试用,VV,2
负责,VV,2
快的,VA,2
超棒,VV,2
验货,VV,2
了解,NN,2
一般,JJ,2
必答,VV,2
拿着,P,2
纠结,NN,2
当天,NT,2
决心,VV,2
好久,AD,2
GPU,NN,2
看到,VV,2
两个,CD,2
所以,AD,2
咯,NN,2
保修卡,NN,2
5.8,CD,2
爱惜,VV,2
内涵,NN,2
要是,CS,2
精致,VA,2
良好,VA,2
超出,VV,2
开封,NR,2
果然,AD,2
生日礼物,NN,2
官方,NN,2
听说,VV,2
高贵,JJ,2
赠,VV,2
max,NN,2
芯片,NN,2
整,JJ,2
杂味,NN,2
长,VA,2
鼠标垫,NR,2
CPU,NN,2
下手,VV,2
品牌,NN,2
优秀,VA,2
照片,NN,2
王者,NN,2
大爱,NN,2
回复,NN,2
问,VV,2
12,CD,2
奢华,VA,2
多少,CD,2
行货,NN,2
降,VV,2
期望值,NN,2
刘海,NR,2
并且,AD,2
兴奋,VA,2
买给,VV,2
保护,NN,2
白,JJ,2
低调,VA,2
核心,NN,2
习惯,VV,2
感受,VV,2
度,NN,2
适应,VV,2
经,NN,2
盖,VV,2
四,CD,2
查到,VV,2
下定,AD,2
优化,NN,2
7P,NN,2
盼,VV,2
开,VV,2
里面,NN,2
耐用,JJ,2
本,M,2
得说,VV,2
发热,VA,2
舍得,VV,2
相机,NN,2
网,NN,2
块,M,2
力度,NN,2
深圳,NR,2
解锁,NN,2
由于,P,2
物品,NN,2
一起,AD,2
保证,VV,2
只是,AD,2
过了,VV,2
想到,VV,2
用过,VV,2
老板,NN,2
12.0,CD,2
没的说,AD,2
发票,NN,2
暂时,AD,2
简单,VA,2
相信,VV,3
公司,NN,3
堆,M,3
愉快,VA,3
在手,VV,3
开机,VV,3
X,NN,3
做,VV,3
光顾,VV,3
美丽,VA,3
过来,VV,3
查询,VV,3
也挺,AD,3
像,P,3
拥有,VV,3
续航,VV,3
